ticker,stockRating,valuation,financialHealth,businessModel,businessOperation,rsRating,taScore,highestPrice,lowestPrice,priceChange3m,priceChange1y,beta,alpha
BVS,3.2,3.1,4.8,3.0,4.3,2.9,1.0,39923.2,11600.0,-0.189,-0.545,1.88,-0.0001
BWA,,2.8,3.4,,1.5,,,15045.9,7100.0,-0.087,-0.059,-0.07,0.0005
BWE,3.0,2.4,3.8,3.0,4.2,2.9,2.0,61500.0,34800.0,-0.127,-0.002,0.96,0.0014
BWS,2.9,1.9,5.0,3.0,3.4,3.0,1.0,34149.8,26213.0,-0.127,-0.161,0.13,-0.0004
BXH,,2.8,3.8,,1.3,,,16965.0,9000.0,-0.168,-0.385,-0.09,-0.0011
C12,,3.3,1.8,,1.1,,,6834.0,4000.0,0.0,-0.355,0.01,-0.0017
C21,2.7,3.0,2.8,3.5,2.0,2.0,,18524.1,10000.0,-0.104,-0.293,0.48,-0.0003
C22,,4.0,2.6,,1.3,,,19700.0,12000.0,-0.391,-0.288,-0.07,-0.0008
C32,3.1,4.0,3.8,3.0,2.2,2.9,3.0,35701.6,17100.0,-0.186,-0.326,0.86,-0.0003
C36,,3.5,1.8,,1.2,,,8500.0,8500.0,,0.0,0.0,0.0
C47,2.5,3.5,2.2,3.5,2.1,1.9,2.0,26300.0,6510.0,-0.392,-0.693,1.29,-0.0027
C4G,2.4,2.3,2.6,3.4,1.6,3.0,1.5,26000.0,5655.0,-0.312,-0.409,1.49,0.0006
C69,2.5,2.5,3.6,,2.7,2.8,1.0,19800.0,5400.0,-0.43,-0.684,0.88,-0.0031
C71,,4.0,2.0,,1.1,,,,,,,-7.46,-0.1169
C92,,2.8,2.2,,1.5,,,11200.0,1748.0,-0.276,-0.633,1.02,-0.0012
CAB,2.5,3.5,3.8,2.9,1.6,2.4,1.0,140040.5,10326.0,-0.028,-0.896,0.11,-0.007
CAD,,3.4,2.8,,1.2,,,3716.0,700.0,-0.611,-0.708,0.35,-0.0038
CAG,,2.6,4.2,3.1,1.5,,,22997.5,6700.0,-0.207,-0.572,0.89,-0.0022
CAN,2.9,3.1,2.8,3.5,3.8,,1.0,68500.0,28100.0,-0.322,-0.226,-0.02,0.004
CAP,3.2,3.5,5.0,3.5,2.9,3.3,1.0,90300.0,54531.9,-0.159,0.215,0.36,0.0013
CAR,,,,,,,,34732.0,15400.0,-0.069,0.904,0.41,0.0072
CAT,,3.3,2.0,,2.3,,,27767.0,18200.0,-0.155,-0.191,0.14,-0.0001
CAV,3.1,3.5,3.4,3.8,2.8,3.6,1.5,58170.8,45000.0,0.036,0.04,0.26,0.0006
CBC,,4.3,1.6,,1.3,,,,,,,0.0,0.0
CBI,2.5,4.0,2.4,3.0,2.5,2.2,1.0,31786.0,5744.0,-0.431,-0.802,0.35,-0.0046
CBS,,3.8,1.8,,1.0,,,95104.5,33873.4,-0.099,-0.101,0.39,0.0009
CC1,2.5,3.3,2.6,3.0,2.0,2.9,1.0,33334.7,10492.0,-0.123,-0.115,0.34,0.001
CC4,2.8,1.5,5.0,,2.4,4.0,1.0,21200.0,8386.6,-0.146,0.549,0.13,0.0034
CCA,,4.0,3.2,,2.5,,,24266.5,8849.3,-0.005,1.057,0.6,0.0045
CCI,3.2,2.3,4.2,3.5,2.0,3.4,4.0,37000.0,21650.0,-0.174,0.063,0.24,0.001
CCL,3.2,3.9,4.4,3.3,4.0,2.4,1.0,17811.4,4220.0,-0.376,-0.634,1.35,-0.002
CCM,3.1,4.3,4.6,,3.4,2.2,1.0,59400.9,31910.0,-0.198,-0.316,-0.46,-0.0007
CCP,,4.1,5.0,,1.1,,,15200.0,9200.0,0.261,0.293,-0.35,0.002
CCR,2.6,2.1,3.6,3.7,3.4,1.6,1.0,26596.6,10200.0,-0.212,-0.508,0.41,-0.0017
CCT,2.8,1.5,4.2,3.5,1.7,3.2,,20409.0,8500.0,-0.078,0.128,0.16,0.0025
CCV,,3.3,2.6,,1.8,,,39839.5,16366.0,-0.169,0.05,0.0,0.001
A32,,4.0,2.6,3.5,2.1,,,34031.0,24314.7,0.068,0.097,-0.01,0.0008
AAA,2.6,3.6,4.0,3.2,2.6,1.4,1.0,22800.0,5690.0,-0.338,-0.559,1.53,-0.0013
AAM,3.3,3.6,5.0,,1.1,3.4,,17900.0,9290.0,-0.041,-0.071,0.44,0.0007
AAS,2.9,4.0,5.0,2.8,2.9,1.8,1.0,35528.0,7066.0,-0.39,-0.64,1.33,-0.0014
AAT,2.9,4.0,4.8,3.0,2.8,1.5,1.0,18866.3,4800.0,-0.473,-0.676,0.85,-0.003
AAV,2.4,2.3,3.8,3.5,2.9,1.0,1.0,24734.7,2800.0,-0.354,-0.775,1.91,-0.0026
ABB,2.6,4.3,2.2,3.0,3.0,2.2,1.0,18095.0,6179.0,-0.248,-0.463,0.87,-0.0011
ABC,2.6,3.5,3.8,3.5,1.0,1.0,,15572.0,4543.0,-0.522,-0.663,0.21,-0.0034
ABI,2.5,2.1,4.0,3.0,3.9,1.2,1.0,51726.3,27676.4,-0.129,-0.306,0.54,-0.0007
ABR,3.2,3.4,4.2,3.5,4.0,1.0,,29500.0,8660.0,-0.22,-0.561,0.19,-0.0028
ABS,2.4,3.3,3.2,3.0,2.3,1.7,1.0,29123.3,5160.0,-0.434,-0.722,1.45,-0.0031
ABT,2.9,3.6,4.4,3.0,1.7,3.8,1.0,41700.0,28000.0,0.005,0.095,0.35,0.0011
ACB,3.2,2.9,3.6,3.9,4.4,3.1,1.0,28600.0,17500.0,-0.029,-0.135,1.05,0.001
ACC,2.8,2.1,3.8,3.5,2.0,4.1,1.0,24834.2,10400.0,-0.329,-0.048,0.75,0.0012
ACE,,3.5,3.2,,2.5,,,49400.0,29209.8,0.062,0.275,-0.08,0.0018
ACG,2.5,3.1,4.8,,2.0,1.7,1.0,72471.2,33400.0,-0.481,-0.473,0.55,-0.0022
ACL,2.8,4.4,4.0,3.0,2.1,2.1,1.0,33150.0,8640.0,-0.406,-0.304,1.09,0.0005
ACM,,2.0,2.8,,1.1,,,3700.0,600.0,-0.361,-0.729,0.38,-0.004
ACS,,2.3,2.0,,1.9,,,16500.0,5500.0,0.124,-0.339,0.21,0.0001
ACV,2.6,1.0,4.8,3.0,2.2,2.6,2.0,96536.0,72756.0,-0.009,0.035,0.37,0.0007
ADC,,4.3,3.8,,2.8,,,27665.1,14900.0,-0.153,-0.283,0.03,-0.0005
ADG,2.6,1.6,4.6,3.3,2.0,2.9,1.0,49765.7,27100.0,-0.315,-0.372,0.52,-0.0009
ADP,2.5,3.3,4.2,3.0,2.2,1.6,1.0,26198.2,14914.0,-0.307,-0.367,0.38,-0.0003
ADS,2.5,4.3,3.2,3.0,2.6,1.1,1.0,33997.5,9050.0,-0.335,-0.661,1.08,-0.0026
AFX,2.4,2.5,3.4,3.0,1.9,1.7,2.0,17982.0,12190.0,-0.067,-0.129,0.23,-0.0001
AG1,,4.3,3.6,,1.1,,,8005.0,4400.0,-0.144,-0.369,-0.05,-0.0011
