ticker,year,quarter,investCost,fromInvest,fromFinancial,fromSale,freeCashFlow
NHT,2022,3,4,4,-62,39,51.0
NHH,2022,3,-10,-240,49,25,149.0
NHC,2022,3,0,5,-6,-3,9.0
NHA,2022,3,12,12,-28,4,16.0
NGC,2022,3,0,0,12,-12,0.0
NFC,2022,3,0,0,60,-58,81.0
NET,2022,3,0,18,-33,10,115.0
NDX,2022,3,0,1,-5,0,15.0
NDW,2022,3,-27,-22,-5,53,16.0
NDT,2022,3,-11,7,67,-67,139.0
NDN,2022,3,0,42,0,-50,-103.0
ND2,2022,3,0,0,-176,59,333.0
NCT,2022,3,-10,-40,-165,68,210.0
NCS,2022,3,0,11,-27,5,-13.0
NBW,2022,3,-13,-23,-13,31,-1.0
NBT,2022,3,-2,-1,-19,18,54.0
NBP,2022,3,0,0,0,7,23.0
NBC,2022,3,-10,-10,-162,173,59.0
NBB,2022,3,2,-118,61,42,-47.0
NAW,2022,3,0,3,-16,2,
NAV,2022,3,0,-16,-5,-63,90.0
NAP,2022,3,-24,-24,-12,21,-18.0
NAG,2022,3,1,-59,300,-240,23.0
NAF,2022,3,-57,-41,-1,33,52.0
NAB,2022,3,-58,-58,0,-454,0.0
MWG,2022,3,-885,2663,478,1027,5838.0
MVN,2022,3,-65,-440,-852,767,3154.0
MVB,2022,3,-27,-126,-99,256,-91.0
MTS,2022,3,0,0,22,-28,49.0
MST,2022,3,0,74,24,-99,210.0
MSR,2022,3,-297,-1117,769,234,929.0
MSN,2022,3,-933,-6784,4866,-1748,11010.0
MSH,2022,3,-45,-352,-79,525,39.0
MSB,2022,3,-46,-45,0,4558,0.0
MPT,2022,3,0,0,0,-1,
MPC,2022,3,-297,-280,-127,250,555.0
MNB,2022,3,-26,-111,57,139,44.0
MML,2022,3,-78,-62,217,-139,989.0
MKV,2022,3,0,0,2,-1,13.0
MKP,2022,3,-2,17,-18,-8,66.0
MIG,2022,3,0,79,0,-79,210.0
MIE,2022,3,-40,-57,-12,80,-23.0
MHL,2022,3,6,6,0,-4,29.0
MHC,2022,3,-3,28,-53,59,-53.0
MH3,2022,3,-16,-36,22,-3,38.0
MGR,2022,3,0,0,0,3,-17.0
MEL,2022,3,0,0,-31,29,18.0
MED,2022,3,-17,-16,9,-8,-2.0
MDG,2022,3,-1,-1,1,9,21.0
MDF,2022,3,0,1,-5,3,53.0
MDC,2022,3,-4,-3,-21,26,58.0
MCP,2022,3,0,3,-61,11,8.0
MCO,2022,3,0,0,3,4,-3.0
MCM,2022,3,-43,-17,0,40,391.0
MCH,2022,3,-230,-1685,-1048,171,5742.0
MCG,2022,3,-2,-2,1,-1,-22.0
MCF,2022,3,0,0,-29,30,-11.0
MCC,2022,3,0,0,0,2,6.0
MBS,2022,3,-4,-4,120,357,609.0
MBG,2022,3,-1,-32,-2,52,127.0
MBB,2022,3,-318,-312,130,-22193,0.0
MAS,2022,3,0,0,-2,1,6.0
M10,2022,3,-115,-112,51,381,-14.0
LWS,2022,3,-5,-5,-1,18,17.0
LUT,2022,3,0,0,0,0,
LTG,2022,3,-78,-79,-615,723,-205.0
LSS,2022,3,-8,-7,-109,95,-34.0
LSG,2022,3,1,-118,77,23,
LPT,2022,3,-2,-2,-1,-26,
LPB,2022,3,-120,-120,2650,5920,0.0
LO5,2022,3,0,0,-2,5,-25.0
LMH,2022,3,0,0,0,-3,163.0
LM8,2022,3,-1,0,-22,22,8.0
LM7,2022,3,0,0,0,1,-16.0
LLM,2022,3,-3,17,-2,169,-154.0
LIX,2022,3,-6,-5,-97,163,153.0
LIC,2022,3,-6,104,-129,-125,246.0
LHG,2022,3,-2,122,-106,76,235.0
LGL,2022,3,0,5,-47,29,-19.0
LGC,2022,3,37,-12,-103,92,501.0
LDW,2022,3,0,9,-11,9,52.0
LDP,2022,3,0,-31,-50,74,-40.0
