ticker,industryEn,loanDeposit,badLoanGrossLoan,badLoanAsset,provisionBadLoan,financialHealth,netDebtEquity,currentRatio,quickRatio,interestCoverage,netDebtEBITDA
DDH,Transportation Services,,,,,3.4,5,5,5,1,1
DDM,Marine Transportation,,,,,4.8,5,5,5,5,4
DDN,Pharmaceuticals,,,,,4.4,5,3,4,5,5
DDV,Specialty Chemicals,,,,,4.8,5,5,4,5,5
DFC,Steel,,,,,2.6,2,3,2,5,1
DFF,Heavy Construction,,,,,2.4,1,4,4,2,1
DGC,Specialty Chemicals,,,,,4.8,4,5,5,5,5
DGT,Heavy Construction,,,,,3.4,4,5,5,2,1
DGW,Specialty Retailers,,,,,3.8,3,3,3,5,5
DHA,Building Materials & Fixtures,,,,,4.2,5,5,5,1,5
DHB,Specialty Chemicals,,,,,3.4,5,1,2,4,5
DHC,Paper,,,,,4.2,4,4,3,5,5
DHD,Pharmaceuticals,,,,,3.2,4,3,3,5,1
DHG,Pharmaceuticals,,,,,5.0,5,5,5,5,5
DHM,General Mining,,,,,3.2,4,4,4,2,2
DHN,Pharmaceuticals,,,,,3.4,5,5,5,1,1
DHP,Electronic Equipment,,,,,4.8,5,5,4,5,5
DHT,Drug Retailers,,,,,4.6,4,5,4,5,5
DIC,Heavy Construction,,,,,2.4,1,2,3,1,5
DID,Heavy Construction,,,,,2.6,4,3,3,2,1
DIG,Real Estate Holding & Development,,,,,3.8,3,5,5,5,1
DIH,Heavy Construction,,,,,2.2,1,3,2,4,1
DKC,Broadline Retailers,,,,,3.4,5,5,5,1,1
DL1,Transportation Services,,,,,2.0,2,2,3,2,1
DLD,Hotels,,,,,2.0,1,1,2,1,5
DLG,Forestry,,,,,1.8,2,2,3,1,1
DLR,Real Estate Holding & Development,,,,,2.0,5,1,2,1,1
DLT,Travel & Tourism,,,,,3.6,5,3,3,2,5
DM7,Clothing & Accessories,,,,,3.4,5,3,3,1,5
DMC,Pharmaceuticals,,,,,4.2,5,5,5,1,5
DMN,Farming & Fishing,,,,,2.4,2,2,3,4,1
DNA,Water,,,,,4.2,4,3,4,5,5
DNC,Conventional Electricity,,,,,5.0,5,5,5,5,5
DND,Building Materials & Fixtures,,,,,3.4,5,3,3,5,1
DNE,Waste & Disposal Services,,,,,2.8,5,3,4,1,1
DNH,Conventional Electricity,,,,,4.8,4,5,5,5,5
DNL,Transportation Services,,,,,3.4,5,5,5,1,1
DNM,Medical Supplies,,,,,2.4,1,3,3,1,4
DNN,Water,,,,,4.4,3,4,5,5,5
DNP,Building Materials & Fixtures,,,,,2.4,2,3,4,2,1
DNT,Recreational Services,,,,,3.4,5,5,5,1,1
DNW,Water,,,,,4.2,4,3,4,5,5
DOC,Specialty Chemicals,,,,,3.4,5,5,5,1,1
DOP,Trucking,,,,,2.2,4,2,3,1,1
DP1,Pharmaceuticals,,,,,3.0,2,3,3,4,3
DP2,Pharmaceuticals,,,,,2.6,3,2,2,1,5
DP3,Pharmaceuticals,,,,,5.0,5,5,5,5,5
DPC,Containers & Packaging,,,,,2.8,2,3,3,1,5
DPD,Commodity Chemicals,,,,,3.8,4,3,2,5,5
DPG,Heavy Construction,,,,,3.6,2,4,3,5,4
DPH,Pharmaceuticals,,,,,4.2,5,5,5,5,1
DPM,Specialty Chemicals,,,,,5.0,5,5,5,5,5
DPP,Pharmaceuticals,,,,,2.6,4,4,3,1,1
DPR,Commodity Chemicals,,,,,5.0,5,5,5,5,5
DPS,Steel,,,,,2.6,3,4,4,1,1
DQC,Furnishings,,,,,4.2,4,5,4,5,3
DRC,Tires,,,,,3.8,4,3,2,5,5
DRG,Commodity Chemicals,,,,,2.8,4,2,2,1,5
DRH,Real Estate Holding & Development,,,,,2.6,4,3,3,2,1
DRI,Commodity Chemicals,,,,,4.6,4,5,4,5,5
DRL,Conventional Electricity,,,,,4.2,5,5,5,1,5
DS3,Transportation Services,,,,,4.2,5,5,5,1,5
DSC,Investment Services,,,,,3.8,3,5,5,5,1
DSD,Recreational Services,,,,,2.4,2,1,2,4,3
DSG,Building Materials & Fixtures,,,,,2.8,4,2,2,1,5
DSN,Recreational Services,,,,,5.0,5,5,5,5,5
DSP,Travel & Tourism,,,,,4.2,5,5,5,1,5
DST,Publishing,,,,,5.0,5,5,5,5,5
DSV,Railroads,,,,,2.4,4,3,3,1,1
DTA,Real Estate Holding & Development,,,,,2.6,3,2,2,5,1
DTB,Waste & Disposal Services,,,,,3.2,5,4,5,1,1
DTC,Building Materials & Fixtures,,,,,2.4,2,3,2,2,3
DTD,Heavy Construction,,,,,4.4,5,3,4,5,5
DTE,Conventional Electricity,,,,,3.0,3,3,3,3,3
DTG,Pharmaceuticals,,,,,2.4,3,3,2,3,1
DTH,Medical Equipment,,,,,2.0,2,3,3,1,1
DTI,Hotels,,,,,4.8,4,5,5,5,5
DTK,Conventional Electricity,,,,,3.4,3,2,3,4,5
DTL,Steel,,,,,2.0,2,3,2,1,2
DTN,Personal Products,,,,,3.4,5,5,5,1,1
DTP,Pharmaceuticals,,,,,4.8,4,5,5,5,5
DTT,Commodity Chemicals,,,,,4.8,5,5,4,5,5
DTV,Conventional Electricity,,,,,3.4,5,5,5,1,1
DUS,Waste & Disposal Services,,,,,3.2,5,4,5,1,1
DVC,Transportation Services,,,,,2.8,3,4,5,1,1
DVG,Building Materials & Fixtures,,,,,5.0,5,5,5,5,5
DVM,Pharmaceuticals,,,,,2.6,3,3,3,3,1
DVN,Pharmaceuticals,,,,,3.0,4,3,3,4,1
DVP,Transportation Services,,,,,4.2,5,5,5,1,5
DVW,Heavy Construction,,,,,3.0,4,4,5,1,1
DWC,Water,,,,,3.2,2,5,5,1,3
DWS,Water,,,,,3.4,4,1,2,5,5
DXG,Real Estate Holding & Development,,,,,4.2,4,5,4,5,3
DXL,Hotels,,,,,4.2,5,5,5,5,1
DXP,Transportation Services,,,,,4.2,5,5,5,1,5
DXS,Real Estate Services,,,,,4.8,4,5,5,5,5
DXV,Building Materials & Fixtures,,,,,4.0,5,5,5,1,4
DZM,Industrial Machinery,,,,,3.0,3,3,3,1,5
E12,Heavy Construction,,,,,2.0,1,3,3,2,1
E29,Heavy Construction,,,,,3.4,4,3,3,2,5
EBS,Publishing,,,,,4.8,4,5,5,5,5
ECI,Publishing,,,,,5.0,5,5,5,5,5
