,result
2344,8
2345,43
2346,0
2347,0
2348,54
2349,0
2350,-71
2351,0
2352,-984
2353,-20
2354,3
2355,0
2356,-60
2357,0
2358,0
2359,46
2360,0
2361,0
2362,0
2363,-3
2364,-28
2365,36
2366,51
2367,0
2368,0
2369,-13
2370,0
2371,0
2372,0
2373,-26
2374,0
2375,0
2376,-22
2377,-89
2378,-3
2379,1
2380,4
2381,0
2382,0
2383,-16
2384,-11
2385,0
2386,0
2387,0
2388,0
2389,0
2390,-45
2391,-1
2392,12
2393,-12
2394,5
2395,372
2396,-17
2397,0
2398,0
2399,0
2400,-8
2401,55
2402,-68
2403,6
2404,-1
2405,-2
2406,0
2407,8
2408,-26
2409,-1
2410,20
2411,0
2412,-238
2413,-43
2414,2
2415,0
2416,0
2417,-4
2418,-11
2419,-1
2420,12
2421,-1
2422,-7
2423,0
2424,-20
2425,25
2426,0
2427,3
2428,-12
2429,0
2430,0
2431,-6
2432,0
2433,5
2434,-2
2435,0
2436,4
2437,-2
2438,8
2439,39
2440,0
2441,0
2442,1
2443,-41
2444,0
2445,-2
2446,930
2447,740
2448,-2
2449,0
2450,0
2451,-1
2452,12
2453,243
2454,-3
2455,5
2456,12
2457,49
2458,-1
2459,-13
2460,21
2461,-3
2462,-13
2463,0
2464,53
2465,0
2466,0
2467,0
2468,1
2469,0
2470,1
2471,-3
2472,-2
2473,-11
2474,0
2475,-20
2476,-4
2477,0
2478,0
2479,-2039
2480,880
2481,-1
2482,0
2483,0
2484,-61
2485,-3
2486,-9
2487,0
2488,0
2489,0
2490,0
2491,0
2492,-4
2493,-122
2494,4
2495,0
2496,-115
2497,-17
2498,0
2499,3
2500,-1
2501,-1
2502,18
2503,4
2504,2
2505,-93
2506,41
2507,-2
2508,0
2509,0
2510,91
2511,-3
2512,-42
2513,27
2514,-1
2515,0
2516,-191
2517,81
2518,0
2519,-16
2520,7
2521,-35
2522,-15
2523,8
2524,124
2525,188
2526,187
2527,0
2528,0
2529,0
2530,0
2531,20
2532,55
2533,49
2534,-1
2535,0
2536,0
2537,197
2538,0
2539,-61
2540,0
2541,0
2542,-1
2543,0
2544,0
2545,-1
2546,-1
2547,-2
2548,0
2549,0
2550,-1
2551,-6
2552,149
2553,-285
2554,0
2555,0
2556,-85
2557,343
2558,0
2559,-2
2560,-1
2561,-284
